City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
201,Ambon,ID,2021-12-08 03:30:06,-3.6954,128.1814,84.34,79,40,9.22
202,Coquimbo,CL,2021-12-08 03:30:06,-29.9533,-71.3436,58.73,77,0,3.44
203,Lisakovsk,KZ,2021-12-08 03:30:07,52.5369,62.4936,0.82,89,22,4.92
204,Saint Anthony,US,2021-12-08 03:30:07,45.0205,-93.218,15.73,83,75,0.0
205,Jacareacanga,BR,2021-12-08 03:30:08,-6.2222,-57.7528,73.9,99,100,2.35
206,Tasiilaq,GL,2021-12-08 03:30:08,65.6145,-37.6368,21.36,63,26,5.26
207,Bathsheba,BB,2021-12-08 03:30:09,13.2167,-59.5167,79.41,83,75,19.57
208,Zhanaozen,KZ,2021-12-08 03:30:09,43.3,52.8,39.78,63,8,20.78
209,Tchollire,CM,2021-12-08 03:30:10,8.4022,14.1698,70.65,30,95,1.68
210,Constitucion,CL,2021-12-08 03:25:58,-35.3333,-72.4167,53.22,89,1,5.37
211,Praia Da Vitoria,PT,2021-12-08 03:25:57,38.7333,-27.0667,57.45,82,20,9.62
212,Waddan,LY,2021-12-08 03:30:11,29.1614,16.139,44.8,57,0,5.21
213,Bilma,NE,2021-12-08 03:30:11,18.6853,12.9164,51.8,19,1,9.04
214,Bethanien,NA,2021-12-08 03:30:11,-26.502,17.1583,66.07,47,0,3.71
215,Harper,LR,2021-12-08 03:30:12,4.375,-7.7169,78.75,87,13,7.09
216,Ketchikan,US,2021-12-08 03:29:39,55.3422,-131.6461,34.27,93,40,4.61
217,Tharad,IN,2021-12-08 03:30:12,24.3961,71.6267,72.79,36,0,4.92
218,San Matias,BO,2021-12-08 03:30:13,-16.3667,-58.4,76.57,78,20,3.78
219,Faya,SA,2021-12-08 03:30:13,18.3851,42.4509,46.51,74,0,1.32
220,Darovskoy,RU,2021-12-08 03:30:13,58.77,47.9564,18.45,94,100,11.36
221,Launceston,AU,2021-12-08 03:30:14,-41.45,147.1667,69.15,33,40,3.0
222,Dwarka,IN,2021-12-08 03:31:14,22.2394,68.9678,76.57,55,0,14.5
223,Namibe,AO,2021-12-08 03:31:14,-15.1961,12.1522,71.46,56,53,9.8
224,Kaeo,NZ,2021-12-08 03:31:15,-35.1,173.7833,71.78,62,30,5.99
225,Port Keats,AU,2021-12-08 03:31:15,-14.25,129.55,92.16,54,97,7.83
226,Chudovo,RU,2021-12-08 03:31:15,59.1167,31.6833,0.63,100,78,3.56
227,Pangody,RU,2021-12-08 03:31:16,65.85,74.4859,-4.0,98,48,11.23
228,Maniitsoq,GL,2021-12-08 03:31:16,65.4167,-52.9,15.75,52,100,6.96
229,Birao,CF,2021-12-08 03:31:16,10.2849,22.7882,69.08,27,11,7.05
230,Palmer,US,2021-12-08 03:31:17,42.1584,-72.3287,31.14,81,91,1.03
231,Araouane,ML,2021-12-08 03:31:17,18.9048,-3.5265,61.54,18,16,11.59
232,Saint-Philippe,RE,2021-12-08 03:31:17,-21.3585,55.7679,78.39,72,10,10.8
233,Beringovskiy,RU,2021-12-08 03:31:18,63.05,179.3167,-8.1,99,100,17.67
234,Nishihara,JP,2021-12-08 03:31:18,26.1842,127.7558,71.26,53,75,16.11
235,Shwebo,MM,2021-12-08 03:31:18,22.5667,95.7,77.77,64,0,6.13
236,Mao,ES,2021-12-08 03:31:19,39.8885,4.2658,59.56,72,0,19.57
237,Tura,IN,2021-12-08 03:31:19,25.5198,90.2201,75.78,54,0,2.33
238,Peterhead,GB,2021-12-08 03:31:20,57.5058,-1.7981,46.8,78,72,30.15
239,Tigzirt,DZ,2021-12-08 03:31:20,36.8886,4.1198,55.13,60,46,11.56
240,Hobyo,SO,2021-12-08 03:31:21,5.3505,48.5268,77.94,68,91,17.67
241,Muroto,JP,2021-12-08 03:31:21,33.2833,134.15,60.84,48,0,8.03
242,Paranapanema,BR,2021-12-08 03:31:07,-23.3886,-48.7228,60.82,81,78,10.25
243,Juye,CN,2021-12-08 03:31:21,35.3947,116.0883,48.22,46,100,6.78
244,Chapais,CA,2021-12-08 03:31:22,49.7834,-74.8492,-11.42,99,100,2.68
245,Sao Filipe,CV,2021-12-08 03:31:22,14.8961,-24.4956,76.3,68,100,10.16
246,Beloha,MG,2021-12-08 03:31:22,-25.1667,45.05,79.68,67,5,5.82
