City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
150,Arraial Do Cabo,BR,76.69,light rain,-22.9661,-42.0278,Pousada Porto Praia
152,Touros,BR,83.3,clear sky,-5.1989,-35.4608,INN NEW HORIZON
158,Port Hedland,AU,84.25,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
159,Dingle,PH,76.8,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
163,Paita,PE,73.96,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
169,Mahanoro,MG,73.8,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
171,Yulara,AU,73.24,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
172,Vila Do Maio,CV,74.19,overcast clouds,15.1333,-23.2167,Hotel Marilu
175,Rocha,UY,70.05,broken clouds,-34.4833,-54.3333,Hotel Arrarte
176,Faanui,PF,80.96,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
177,Neiafu,TO,81.28,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
178,Marsh Harbour,BS,76.55,clear sky,26.5412,-77.0636,Abaco Beach Resort
179,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
180,Saint-Philippe,RE,76.59,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
182,Ilhabela,BR,75.4,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
183,Kilindoni,TZ,79.14,moderate rain,-7.9139,39.6668,Bustani B&B
185,Adre,TD,70.39,broken clouds,13.4667,22.2,
186,Bambous Virieux,MU,75.45,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
187,Hobyo,SO,78.21,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
201,Bagu,PH,73.13,overcast clouds,18.4228,121.3583,
202,Codrington,AU,84.02,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
203,Sinnamary,GF,77.09,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
206,Yala,TH,71.42,broken clouds,6.3333,101.25,งานแต่ง Murnee - Wahid
207,Caravelas,BR,76.62,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
214,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
220,Dicabisagan,PH,74.88,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
222,Sawakin,SD,80.55,clear sky,19.1059,37.3321,فندق الدويم
223,Thinadhoo,MV,80.6,overcast clouds,0.5333,72.9333,
225,Santa Cruz,BO,78.85,overcast clouds,-17.8,-63.1667,Aviador Hotel Boutique
228,Kattivakkam,IN,80.08,scattered clouds,13.2167,80.3167,Euronova Freezer
230,Beloha,MG,72.0,broken clouds,-25.1667,45.05,
231,Souillac,MU,75.58,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
232,Guadalajara,MX,81.99,few clouds,20.6667,-103.3333,Hotel Aranzazú
236,San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
241,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
243,Buenos Aires,AR,78.98,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
251,Marataizes,BR,76.68,moderate rain,-21.0433,-40.8244,Ed. Barra Shopping
253,Ngunguru,NZ,72.16,overcast clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
254,Todos Santos,MX,79.02,broken clouds,23.45,-110.2167,Hotel California Todos Santos
